timestamp_utc,grid_power_w,batt_power_l_w,batt_power_r_w,solar_power_l_w,solar_power_r_w,soc_l_pct,soc_r_pct
2026-02-25T11:00:00+00:00,298.4834290508505,,,,,,
2026-02-25T12:00:00+00:00,1865.324732981852,,,,,,
2026-02-25T13:00:00+00:00,1632.1470067263356,,,,,,
2026-02-25T14:00:00+00:00,1220.9094243924587,,,,,,
2026-02-25T15:00:00+00:00,329.2678256549911,,,,,,
2026-02-25T16:00:00+00:00,1279.2520558146136,,,,,,
2026-02-25T17:00:00+00:00,1054.725563757747,,,,,,
2026-02-25T18:00:00+00:00,616.3365714265498,,,,,,
2026-02-25T19:00:00+00:00,939.2008632706369,,,,,,
2026-02-25T20:00:00+00:00,1156.0351511198558,,,,,,
2026-02-25T21:00:00+00:00,637.8071879469994,,,,,,
2026-02-25T22:00:00+00:00,826.8701890317666,,,,,,
2026-02-25T23:00:00+00:00,1105.3640749234776,,,,,,
2026-02-26T00:00:00+00:00,641.0843183630551,,,,,,
2026-02-26T01:00:00+00:00,656.3668245513093,,,,,,
2026-02-26T02:00:00+00:00,5049.31046495499,,,,,,
2026-02-26T03:00:00+00:00,1341.757509235514,,,,,,
2026-02-26T04:00:00+00:00,764.6311755129477,,,,,,
2026-02-26T05:00:00+00:00,573.2318848436012,,,,,,
2026-02-26T06:00:00+00:00,1007.0672873812905,,,,,,
2026-02-26T07:00:00+00:00,331.93496093058553,,,,,,
2026-02-26T08:00:00+00:00,1038.8497126698005,,,,,,
2026-02-26T09:00:00+00:00,838.4394062458938,,,,,,
2026-02-26T10:00:00+00:00,290.91385640661275,,,,,,
2026-02-26T11:00:00+00:00,606.9259680952807,,,,,,
2026-02-26T12:00:00+00:00,1342.9743678414527,,,,,,
2026-02-26T13:00:00+00:00,643.5642416540583,,,,,,
2026-02-26T14:00:00+00:00,278.2899230667305,,,,,,
2026-02-26T15:00:00+00:00,1036.2961018937337,,,,,,
2026-02-26T16:00:00+00:00,1187.7224598003008,,,,,,
2026-02-26T17:00:00+00:00,1033.145887552136,,,,,,
2026-02-26T18:00:00+00:00,991.2766247804299,,,,,,
